effctive ddr bandwidth(total if w of other): Add_110(binary_add)/binary_add_0/ptq_new_st/fusion,247296,163840,0,81920,1536
ddr bandwidth(total if w of other): Sigmoid_115.(Sigmoid)/broadcast_store/ptq_new_st/fusion,270848,51200,163840,51200,4608
effctive ddr bandwidth(total if w of other): Sigmoid_115.(Sigmoid)/broadcast_store/ptq_new_st/fusion,332288,81920,163840,81920,4608
ddr bandwidth(total if w of other): Add_117(binary_add)/binary_add_0/ptq_new_st/fusion,155136,102400,0,51200,1536
effctive ddr bandwidth(total if w of other): Add_117(binary_add)/binary_add_0/ptq_new_st/fusion,247296,163840,0,81920,1536
ddr bandwidth(total if w of other): Sigmoid_122.(Sigmoid)/broadcast_store/ptq_new_st/fusion,270848,51200,163840,51200,4608
effctive ddr bandwidth(total if w of other): Sigmoid_122.(Sigmoid)/broadcast_store/ptq_new_st/fusion,332288,81920,163840,81920,4608
ddr bandwidth(total if w of other): Add_124(binary_add)/binary_add_0/ptq_new_st/fusion,155136,102400,0,51200,1536
effctive ddr bandwidth(total if w of other): Add_124(binary_add)/binary_add_0/ptq_new_st/fusion,247296,163840,0,81920,1536
ddr bandwidth(total if w of other): Sigmoid_126.(Sigmoid)/broadcast_store/ptq_new_st/fusion,189696,102400,32768,51200,3328
effctive ddr bandwidth(total if w of other): Sigmoid_126.(Sigmoid)/broadcast_store/ptq_new_st/fusion,281856,163840,32768,81920,3328
ddr bandwidth(total if w of other): Sigmoid_130.(Sigmoid)/broadcast_store/ptq_new_st/fusion,275968,102400,65536,102400,5632
effctive ddr bandwidth(total if w of other): Sigmoid_130.(Sigmoid)/broadcast_store/ptq_new_st/fusion,398848,163840,65536,163840,5632
ddr bandwidth(total if w of other): Sigmoid_133.(Sigmoid)/broadcast_store/ptq_new_st/fusion,1343488,102400,1179648,51200,10240
effctive ddr bandwidth(total if w of other): Sigmoid_133.(Sigmoid)/broadcast_store/ptq_new_st/fusion,1435648,163840,1179648,81920,10240
ddr bandwidth(total if w of other): Sigmoid_136.(Sigmoid)/broadcast_store/ptq_new_st/fusion,214528,51200,131072,25600,6656
effctive ddr bandwidth(total if w of other): Sigmoid_136.(Sigmoid)/broadcast_store/ptq_new_st/fusion,260608,81920,131072,40960,6656
ddr bandwidth(total if w of other): MaxPool_138.reduce_max(Pool)_store/ptq_new_st/fusion,53248,25600,0,25600,2048
effctive ddr bandwidth(total if w of other): MaxPool_138.reduce_max(Pool)_store/ptq_new_st/fusion,83968,40960,0,40960,2048
ddr bandwidth(total if w of other): MaxPool_139.reduce_max(Pool)_store/ptq_new_st/fusion,53248,25600,0,25600,2048
effctive ddr bandwidth(total if w of other): MaxPool_139.reduce_max(Pool)_store/ptq_new_st/fusion,83968,40960,0,40960,2048
ddr bandwidth(total if w of other): MaxPool_140.reduce_max(Pool)_store/ptq_new_st/fusion,53248,25600,0,25600,2048
effctive ddr bandwidth(total if w of other): MaxPool_140.reduce_max(Pool)_store/ptq_new_st/fusion,83968,40960,0,40960,2048
ddr bandwidth(total if w of other): Sigmoid_143.(Sigmoid)/broadcast_store/ptq_new_st/fusion,703488,102400,524288,51200,25600
effctive ddr bandwidth(total if w of other): Sigmoid_143.(Sigmoid)/broadcast_store/ptq_new_st/fusion,795648,163840,524288,81920,25600
ddr bandwidth(total if w of other): Sigmoid_149.(Sigmoid)/broadcast_store/ptq_new_st/fusion,283648,51200,196608,25600,10240
effctive ddr bandwidth(total if w of other): Sigmoid_149.(Sigmoid)/broadcast_store/ptq_new_st/fusion,329728,81920,196608,40960,10240
ddr bandwidth(total if w of other): Sigmoid_152.(Sigmoid)/broadcast_store/ptq_new_st/fusion,653824,30720,589824,25600,7680
effctive ddr bandwidth(total if w of other): Sigmoid_152.(Sigmoid)/broadcast_store/ptq_new_st/fusion,687616,49152,589824,40960,7680
ddr bandwidth(total if w of other): Sigmoid_155.(Sigmoid)/broadcast_store/ptq_new_st/fusion,214528,51200,131072,25600,6656
effctive ddr bandwidth(total if w of other): Sigmoid_155.(Sigmoid)/broadcast_store/ptq_new_st/fusion,260608,81920,131072,40960,6656
ddr bandwidth(total if w of other): Sigmoid_159.(Sigmoid)/broadcast_store/ptq_new_st/fusion,375808,51200,262144,51200,11264
effctive ddr bandwidth(total if w of other): Sigmoid_159.(Sigmoid)/broadcast_store/ptq_new_st/fusion,437248,81920,262144,81920,11264
ddr bandwidth(total if w of other): Sigmoid_162.(Sigmoid)/broadcast_store/ptq_new_st/fusion,214528,51200,131072,25600,6656
effctive ddr bandwidth(total if w of other): Sigmoid_162.(Sigmoid)/broadcast_store/ptq_new_st/fusion,260608,81920,131072,40960,6656
ddr bandwidth(total if w of other): Resize_164(Resize)_store/ptq_new_st/fusion,130048,25600,0,102400,2048
effctive ddr bandwidth(total if w of other): Resize_164(Resize)_store/ptq_new_st/fusion,206848,40960,0,163840,2048
ddr bandwidth(total if w of other): Sigmoid_173.(Sigmoid)/broadcast_store/ptq_new_st/fusion,755968,245760,442368,51200,16640
effctive ddr bandwidth(total if w of other): Sigmoid_173.(Sigmoid)/broadcast_store/ptq_new_st/fusion,934144,393216,442368,81920,16640
ddr bandwidth(total if w of other): Sigmoid_176.(Sigmoid)/broadcast_store/ptq_new_st/fusion,328448,204800,65536,51200,6912
effctive ddr bandwidth(total if w of other): Sigmoid_176.(Sigmoid)/broadcast_store/ptq_new_st/fusion,482048,327680,65536,81920,6912
ddr bandwidth(total if w of other): Sigmoid_183.(Sigmoid)/broadcast_store/ptq_new_st/fusion,258816,102400,98304,51200,6912
effctive ddr bandwidth(total if w of other): Sigmoid_183.(Sigmoid)/broadcast_store/ptq_new_st/fusion,350976,163840,98304,81920,6912
ddr bandwidth(total if w of other): Resize_185(Resize)_store/ptq_new_st/fusion,257024,51200,0,204800,1024
